nr_conta;dt_interface;dt_movimentacao;mercado;sub_mercado;produto;ativo;emissor;indexador;cnpj_fundo;cge_fundo;tipo;tipo_opcao;quantidade;vl_custo;vl_bruto;vl_ir;vl_iof;vl_taxa;vl_taxa_compra;taxa_indexador;vl_preco_mercado;vl_preco_compra;vl_premio;vl_exercicio;vl_liquido;quantidade_contrato;vl_contrato;dt_aquisicao;dt_exercicio;dt_vencimento;vl_futuro_nao_compoem_pl;vl_aluguel_nao_compoem_pl;visualizacao_cliente;vl_bruto_curva_cliente;ir_curva_cliente;iof_curva_cliente;vl_liquido_curva_cliente;vl_bruto_curva_mercado;ir_curva_mercado;iof_curva_mercado;vl_liquido_curva_mercado;cod_certificado;tipo_previdencia
008186983;2026-06-17;2026-06-17;RENDA FIXA;TITULO PUBLICO;NTN-B;NTNB;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% IPCA;;;;;11;47714.519999999997;49287.270000000004;291.31;0;7.2800000000000002;7.2800000000000002;IPCA;;;;4480.6614680000002;48995.959999999999;;;2025-05-27;;2029-05-15;0;0;Precificação na Curva Mercado;50727.889685000002;543.42280300000004;0;50184.466882000001;49287.276148000004;291.315434025;0;48995.960713975008;;
008720704;2026-06-17;2026-06-17;RENDA FIXA;TITULO PUBLICO;NTN-B;NTNB;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% IPCA;;;;;6;25482.91;25161.09;14.300000000000001;0;7.4500000000000002;7.46;IPCA;;;;4193.5165139999999;25146.790000000001;;;2026-02-10;;2035-05-15;0;0;Precificação na Curva Mercado;26023.66977;208.3786101;0;25815.2911599;25161.099084000001;14.30020575;0;25146.79887825;;
016134090;2026-06-17;2026-06-17;FUNDOS;FN;FIERE STRATEGY FIA;;;;38228369000129;3445228;;;159704.13607820778;;253901.54999999999;0;0;;;;;;;1.5898245629000001;253901.54999999999;;;;;;0;0;;;;;;;;;;;
009139755;2026-06-17;2026-06-17;RENDA FIXA;TITULO PUBLICO;NTN-B;NTNB;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% IPCA;;;;;20;83384.100000000006;85809.360000000001;751.88999999999999;0;7.2300000000000004;7.6299999999999999;IPCA;;;;4290.4682810000004;85057.470000000001;;;2026-01-16;;2035-05-15;0;0;Precificação na Curva Cliente;85809.365620000011;751.89075750000006;0;85057.474862500007;83870.330279999995;315.60780599999998;0;83554.722473999995;;
005749763;2026-06-17;2026-06-17;RENDA FIXA;PRIVADO;CRI;CRI-23K1775123;EPSA;100% IPCA;;;;;30;30427.02;33346.559999999998;0;0;7.1299999999999999;7.1299999999999999;IPCA;;;;1111.5520839599999;33346.559999999998;;;2024-07-23;;2033-11-16;0;0;Precificação na Curva Cliente;33346.562518799998;0;0;33346.562518799998;29808.180257100001;0;0;29808.180257100001;;
005749763;2026-06-17;2026-06-17;RENDA FIXA;DESCONHECIDO;DEBÊNTURE;DEB-RISP24;AGUAS DO RIO 1 SPE S.A;100% IPCA;;;;;20000;20603.419999999998;22573.529999999999;0;0;7.75;7.75;IPCA;;;;1.12867691;22573.529999999999;;;2024-07-23;;2042-09-15;0;0;Precificação na Curva Cliente;22573.538199999999;0;0;22573.538199999999;17731.399999999998;0;0;17731.399999999998;;
005749763;2026-06-17;2026-06-17;RENDA FIXA;DESCONHECIDO;DEBÊNTURE;DEB-SABP12;RIO SANEAMENTO BL3 S.A;100% IPCA;;;;;50;53821.870000000003;67676.220000000001;0;0;7.3600000000000003;7.3600000000000003;IPCA;;;;1353.5245754;67676.220000000001;;;2024-07-23;;2043-11-15;0;0;Precificação na Curva Cliente;67676.228770000002;0;0;67676.228770000002;53935.376150000004;0;0;53935.376150000004;;
005749763;2026-06-17;2026-06-17;RENDA FIXA;DESCONHECIDO;DEBÊNTURE;DEB-JTEE12;JANAUBA TRANSMISSORA DE ENERGIA ELETRICA S.A;100% IPCA;;;;;14;18443.790000000001;19550.720000000001;0;0;6.29;6.3499999999999996;IPCA;;;;1396.48017273;19550.720000000001;;;2024-07-23;;2044-12-15;0;0;Precificação na Curva Cliente;19550.722418220001;0;0;19550.722418220001;17659.870004;0;0;17659.870004;;
005011677;2026-06-17;2026-06-17;RENDA FIXA;TITULO PUBLICO;NTN-B;NTNB;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% IPCA;;;;;4;16812.41;16774.060000000001;76.700000000000003;0;7.0800000000000001;7.5899999999999999;IPCA;;;;4193.5165139999999;16697.360000000001;;;2025-10-08;;2035-05-15;0;0;Precificação na Curva Mercado;17205.696876000002;163.0325248;0;17042.664351200001;16774.066056;76.706360799999999;0;16697.359695200001;;
005011677;2026-06-17;2026-06-17;RENDA FIXA;TITULO PUBLICO;NTN-B;NTNB;BACEN-BANCO CENTRAL DO BRASIL - RJ;100% IPCA;;;;;8;34205.669999999998;33548.129999999997;0;0;7.0800000000000001;7.4000000000000004;IPCA;;;;4193.5165139999999;33548.129999999997;;;2026-02-20;;2035-05-15;0;0;Precificação na Curva Mercado;34831.685296000003;270.19787580000002;0;34561.487420200006;33548.132111999999;0;0;33548.132111999999;;
